"year"	"month"	"day"	"zone"	"tow.number"	"tow.id"	"swept.area"	"swept.area.method"	"tow.type"	"start.time"	"end.time"	"latitude"	"longitude"	"depth.meters"	"bottom.temperature.minilog"	"bottom.temperature.star.oddi"	"vessel"	"commercial.count"	"commercial.weight"	"commercial345.count"	"commercial345.weight"	"male.legal.count"	"male.legal.immature.count"	"male.count"	"female.count"	"total.count"
2018	7	19	"F"	1	"GP354F"	2303	"model"	"Primary"	"05:27:30"	"05:32:22"	47.3825666666667	-60.390275	80.5	1.85	1.62	"Jean-Mathieu"	0	0	0	0	0	0	1	0	1
2018	7	19	"F"	2	"GP351F"	2753	"model"	"Primary"	"06:38:07"	"06:43:13"	47.4302833333333	-60.4649	95.1	2.01	1.82	"Jean-Mathieu"	13	6.933	8	4.483	23	10	73	2	75
2018	7	19	"F"	3	"GP353F"	2466	"average"	"Primary"	"08:22:47"	"08:28:36"	47.5261916666667	-60.4016833333333	310.9	6.79	6.65	"Jean-Mathieu"	0	0	0	0	0	0	0	3	3
2018	7	19	"F"	4	"GP352F"	2482	"average"	"Primary"	"09:53:28"	"09:58:28"	47.5575666666667	-60.4415	234.1	6.18	6.08	"Jean-Mathieu"	0	0	0	0	11	11	26	1	27
2018	7	19	"F"	5	"GP350F"	1981	"model"	"Primary"	"11:03:27"	"11:08:33"	47.5093	-60.48295	140.8	2.87	2.71	"Jean-Mathieu"	15	8.365	7	3.485	17	2	17	0	17
2018	7	19	"F"	6	"GP346F"	2605	"model"	"Primary"	"12:26:20"	"12:31:35"	47.4803583333333	-60.6083916666667	73.2	1.51	1.25	"Jean-Mathieu"	19	11.649	15	9.662	20	1	60	75	135
2018	7	19	"F"	7	"GP342F"	2935	"model"	"Primary"	"13:51:24"	"13:57:18"	47.5708083333333	-60.69165	56.7	1.11	0.86	"Jean-Mathieu"	26	14.053	12	6.124	30	4	98	8	106
2018	7	19	"F"	8	"GP334F"	2445	"model"	"Primary"	"15:13:44"	"15:18:55"	47.5628583333333	-60.8659333333333	49.4	2.38	2.12	"Jean-Mathieu"	0	0	0	0	0	0	1	0	1
2018	7	19	"F"	9	"GP323F"	2283	"model"	"Primary"	"16:31:48"	"16:36:55"	47.6270083333333	-61.0035083333333	40.2	4.57	4.3	"Jean-Mathieu"	3	1.377	0	0	3	0	22	2	24
2018	7	19	"F"	10	"GP325F"	2485	"model"	"Primary"	"18:10:42"	"18:15:56"	47.7819833333333	-60.9551	53	1.6	1.34	"Jean-Mathieu"	25	14.381	3	1.728	31	6	107	26	133
2018	7	19	"F"	11	"GP335F"	2370	"model"	"Primary"	"19:10:22"	"19:15:26"	47.7693166666667	-60.8332583333333	69.5	0.71	0.46	"Jean-Mathieu"	5	2.658	4	1.995	5	0	39	52	91
2018	7	19	"F"	12	"GP344F"	1946	"model"	"Primary"	"20:21:55"	"20:26:55"	47.7401083333333	-60.6773	84.1	1.37	1.14	"Jean-Mathieu"	2	1.019	1	0.379	2	0	36	19	55
2018	7	20	"F"	1	"GP341F"	1672	"model"	"Primary"	"05:24:55"	"05:30:16"	47.8147	-60.6915166666667	192	4.21	4.1	"Jean-Mathieu"	14	6.806	1	0.722	22	7	38	0	38
